URL,Marktbericht KW,Haltungsform,Label,weiß XL,weiß L,weiß M,weiß S
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-10-2023-kopie.html,Marktbericht KW 11/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 23,00 (+0,05) "," 17,60 (+0,15)"," 16,70 (+0,20)"," 13,40 (+0,15)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-09-2023-kopie.html,Marktbericht KW 10/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,95 (+0,02) "," 17,45 (+0,20)"," 16,50 (+0,22)"," 13,25 (+0,15)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-08-2023-kopie.html,Marktbericht KW 09/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,93 (  0,00) "," 17,25 (+0,22)"," 16,28 (+0,23)"," 13,10 (+0,15)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-07-2023-kopie.html,Marktbericht KW 08/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,93 (+0,13) "," 17,03 (+0,33)"," 16,05 (+0,25)"," 12,95 (+0,25)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-06-2023-kopie.html,Marktbericht KW 07/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,80 (+0,07) "," 16,70 (+0,25)"," 15,80 (+0,20)"," 12,70 (+0,17)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-05-2023-kopie.html,Marktbericht KW 06/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,73 (+0,08) "," 16,45 (+0,15)"," 15,60 (+0,15)"," 12,53 (+0,13)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-04-2023-kopie.html,Marktbericht KW 05/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,65 (+0,05) "," 16,30 (+0,10)"," 15,45 (+0,10)"," 12,40 (+0,10)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-03-2023-kopie.html,Marktbericht KW 04/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,60 ( -0,08) "," 16,20 (  0,00)"," 15,35 (+0,05)"," 12,30 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-02-2023-kopie.html,Marktbericht KW 03/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,68 ( -0,07) "," 16,20 (  0,00)"," 15,30 (+0,10)"," 12,30 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-01-2023-kopie.html,Marktbericht KW 02/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,75 ( -0,15) "," 16,20 (  0,00)"," 15,20 (  0,00)"," 12,30 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-52-2022-kopie.html,Marktbericht KW 01/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,90 ( -0,05) "," 16,20 (  0,00)"," 15,20 (  0,00)"," 12,30 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-51-2022-kopie.html,Marktbericht KW 52/2022,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,95 ( -0,05) "," 16,20 (  0,00)"," 15,20 ( -0,05)"," 12,30 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-50-2022-kopie.html,Marktbericht KW 51/2022,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 23,00 (+0,02) "," 16,20 (+0,02)"," 15,25 (  0,00)"," 12,30 (+0,07)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-49-2022-kopie.html,Marktbericht KW 50/2022,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,98 (+0,08) "," 16,18 (+0,13)"," 15,25 (+0,15)"," 12,23 (+0,10)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-48-2022-kopie.html,Marktbericht KW 49/2022,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,90 (  0,00) "," 16,05 (+0,05)"," 15,10 (+0,10)"," 12,13 (+0,13)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-47-2022-kopie.html,Marktbericht KW 48/2022,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,90 (  0,00) "," 16,00 (  0,00)"," 15,00 (  0,00)"," 12,00 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-46-2022-kopie.html,Marktbericht KW 47/2022,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,90 (  0,00) "," 16,00 (  0,00)"," 15,00 (  0,00)"," 12,00 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-45-2022-kopie.html,Marktbericht KW 46/2022,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,90 (  0,00) "," 16,00 (  0,00)"," 15,00 (  0,00)"," 12,00 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-44-2022-kopie.html,Marktbericht KW 45/2022,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,90 (  0,00) "," 16,00 (  0,00)"," 15,00 (  0,00)"," 12,00 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-43-2022-kopie.html,Marktbericht KW 44/2022,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,90 (  0,00) "," 16,00 (  0,00)"," 15,00 (  0,00)"," 12,00 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-42-2022-kopie.html,Marktbericht KW 43/2022,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,90 (+0,10) "," 16,00 (+0,30)"," 15,00 (+0,30)"," 12,00 (+0,30)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-41-2022-kopie.html,Marktbericht KW 42/2022,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,80 (+0,10) "," 15,70 (+0,45)"," 14,70 (+0,70)"," 11,70 (+0,30)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-40-2022-kopie.html,Marktbericht KW 41/2022,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,70 (+0,20) "," 15,25 (+0,45)"," 14,00 (+0,70)"," 11,40 (+0,40)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-39-2022-kopie.html,Marktbericht KW 40/2022,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,50 (+0,25) "," 14,80 (+0,75)"," 13,30 (+0,70)"," 11,00 (+0,70)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-38-2022-kopie.html,Marktbericht KW 39/2022,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,25 (+0,50) "," 14,05 (+0,75)"," 12,60 (+0,75)"," 10,30 (+0,30)"
